9181,INTERCAMBIADOR STA.CRUZ,0.23
1279,CHAMBERÍ,0.75
1280,HOSPITAL LA CANDELARIA,0.94
1281,NUEVO OBRERO,0.45
1282,HOSPITAL UNIVERSITARIO,0.90
2533,CAMPUS DE GUAJARA,0.87
2625,INTERCAMBIADOR LAGUNA,0.43
2549,LEOCADIO MACHADO,0.33
1950,TACORONTE (T),0.87
4001,EL PEÑÓN (T),0.21
4002,CRUCE LA MATANZA (T),0.98
4003,CRUCE LA VICTORIA (T),0.19
4004,LA QUINTA (T),0.37
5093,ENLACE OROTAVA,0.68
4193,LOS PERALES,0.15
4194,SAN NICOLAS,0.76
4091,LAS ARENAS (T),0.24
4092,LA PESA,0.63
4093,LA ASOMADA,0.82
4094,ESCUELA DE TURISMO (T),0.01
4095,TAORO,0.16
4096,PUENTE SAN ANTONIO,0.82
4097,SALTO EL BARRANCO (T),0.17
5090,PUERTO DE LA CRUZ,0.34
